time;vehicle_flux;
0;0;
300;8;
600;8;
900;20;
1200;12;
1500;10;
1800;8;
2100;10;
2400;12;
2700;11;
3000;12;
3300;10;
3600;7;
3900;10;
4200;2;
4500;4;
4800;10;
5100;4;
5400;6;
5700;3;
6000;3;
6300;3;
6600;4;
6900;3;
7200;0;
7500;0;
7800;0;
8100;0;
8400;3;
8700;5;
9000;2;
9300;0;
9600;0;
9900;0;
10200;3;
10500;6;
10800;1;
11100;0;
11400;0;
11700;0;
12000;4;
12300;5;
12600;3;
12900;6;
13200;5;
13500;5;
13800;5;
14100;2;
14400;0;
14700;0;
15000;0;
15300;0;
15600;2;
15900;11;
16200;5;
16500;6;
16800;14;
17100;8;
17400;16;
17700;11;
18000;10;
18300;14;
18600;23;
18900;25;
19200;23;
19500;36;
19800;37;
20100;32;
20400;61;
20700;33;
21000;30;
21300;34;
21600;17;
21900;32;
22200;27;
22500;47;
22800;38;
23100;62;
23400;78;
23700;49;
24000;89;
24300;85;
24600;64;
24900;126;
25200;73;
25500;72;
25800;61;
26100;127;
26400;74;
26700;76;
27000;135;
27300;67;
27600;101;
27900;110;
28200;74;
28500;101;
28800;100;
29100;106;
29400;73;
29700;104;
30000;104;
30300;70;
30600;124;
30900;85;
31200;75;
31500;132;
31800;75;
32100;100;
32400;102;
32700;82;
33000;98;
33300;93;
33600;112;
33900;73;
34200;94;
34500;119;
34800;69;
35100;114;
35400;95;
35700;75;
36000;122;
36300;81;
36600;100;
36900;92;
37200;96;
37500;98;
37800;83;
38100;124;
38400;71;
38700;84;
39000;125;
39300;69;
39600;104;
39900;109;
40200;75;
40500;112;
40800;93;
41100;93;
41400;45;
41700;85;
42000;69;
42300;54;
42600;85;
42900;54;
43200;55;
43500;87;
43800;51;
44100;72;
44400;88;
44700;55;
45000;72;
45300;63;
45600;83;
45900;39;
46200;72;
46500;89;
46800;64;
47100;88;
47400;58;
47700;69;
48000;100;
48300;67;
48600;82;
48900;86;
49200;67;
49500;95;
49800;73;
50100;84;
50400;60;
50700;71;
51000;108;
51300;52;
51600;114;
51900;76;
52200;75;
52500;122;
52800;72;
53100;91;
53400;78;
53700;73;
54000;62;
54300;62;
54600;97;
54900;54;
55200;49;
55500;119;
55800;62;
56100;93;
56400;77;
56700;58;
57000;112;
57300;88;
57600;98;
57900;82;
58200;104;
58500;96;
58800;73;
59100;131;
59400;76;
59700;76;
60000;127;
60300;67;
60600;101;
60900;110;
61200;74;
61500;101;
61800;100;
62100;106;
62400;73;
62700;104;
63000;104;
63300;70;
63600;124;
63900;85;
64200;75;
64500;132;
64800;75;
65100;100;
65400;102;
65700;82;
66000;98;
66300;93;
66600;112;
66900;73;
67200;94;
67500;119;
67800;69;
68100;114;
68400;95;
68700;75;
69000;122;
69300;81;
69600;100;
69900;92;
70200;96;
70500;98;
70800;83;
71100;124;
71400;71;
71700;84;
72000;125;
72300;69;
72600;104;
72900;109;
73200;75;
73500;112;
73800;93;
74100;98;
74400;82;
74700;104;
75000;96;
75300;73;
75600;131;
75900;78;
76200;76;
76500;74;
76800;36;
77100;38;
77400;57;
77700;38;
78000;38;
78300;28;
78600;38;
78900;16;
79200;22;
79500;32;
79800;19;
80100;37;
80400;29;
80700;40;
81000;39;
81300;36;
81600;33;
81900;32;
82200;25;
82500;25;
82800;22;
83100;28;
83400;23;
83700;18;
84000;25;
84300;16;
84600;26;
84900;18;
85200;29;
85500;17;
85800;14;
86100;21;
86400;10;
